Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
126690080,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
126691393,000002DE,false,Rx,0,8,00,00,00,00,00,00,FF,FF,
126691991,000001CB,false,Rx,0,7,00,00,FF,CE,60,03,54,00,
126692173,000001CC,false,Rx,0,4,00,3F,F5,71,00,00,00,00,
126693644,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126693824,00000385,false,Rx,0,7,00,00,00,00,00,00,00,00,
126693863,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126697799,00000284,false,Rx,0,8,00,00,00,00,00,00,04,8A,
126697986,00000285,false,Rx,0,8,00,00,00,00,00,00,04,8B,
126698592,000005E4,false,Rx,0,3,04,00,00,00,00,00,00,00,
126698910,00000180,false,Rx,0,8,00,00,00,00,00,00,2A,00,
126699233,00000174,false,Rx,0,8,00,00,00,AA,0A,00,00,00,
126699420,00000176,false,Rx,0,7,FF,FF,FF,FF,00,00,0A,00,
126699624,00000002,false,Rx,0,5,67,01,00,07,43,00,00,00,
126699813,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
